gene	W8
ENSMUSG00000003810	3964
ENSMUSG00000003812	2025
ENSMUSG00000003813	3665
ENSMUSG00000003814	97505
ENSMUSG00000003824	207
ENSMUSG00000003847	12016
ENSMUSG00000003848	1036
ENSMUSG00000003849	666
ENSMUSG00000003863	195
ENSMUSG00000003865	5186
ENSMUSG00000003868	1685
ENSMUSG00000003872	44
ENSMUSG00000003873	1602
ENSMUSG00000003882	448
ENSMUSG00000003923	1999
ENSMUSG00000003929	816
ENSMUSG00000003934	96
ENSMUSG00000003948	1187
ENSMUSG00000003949	1199
ENSMUSG00000003955	1162
ENSMUSG00000003970	16470
ENSMUSG00000003974	0
ENSMUSG00000003992	1564
ENSMUSG00000004018	574
ENSMUSG00000004031	5
ENSMUSG00000004032	1481
ENSMUSG00000004035	607
ENSMUSG00000004038	3
ENSMUSG00000004040	9362
ENSMUSG00000004043	1954
ENSMUSG00000004044	7998
ENSMUSG00000004054	3567
ENSMUSG00000004056	14657
ENSMUSG00000004069	3912
ENSMUSG00000004070	2726
ENSMUSG00000004071	6106
ENSMUSG00000004085	4584
ENSMUSG00000004096	3101
ENSMUSG00000004098	2509
ENSMUSG00000004099	3196
ENSMUSG00000004100	1086
ENSMUSG00000004105	6048
ENSMUSG00000004110	52
ENSMUSG00000004113	97
ENSMUSG00000004127	257
ENSMUSG00000004151	794
ENSMUSG00000004187	1699
ENSMUSG00000004207	81768
ENSMUSG00000004221	2941
ENSMUSG00000004231	0
ENSMUSG00000004233	791
ENSMUSG00000004263	484
ENSMUSG00000004264	4528
ENSMUSG00000004266	1867
ENSMUSG00000004267	1826
ENSMUSG00000004268	1507
ENSMUSG00000004270	4726
ENSMUSG00000004285	2575
ENSMUSG00000004296	11
ENSMUSG00000004317	1973
ENSMUSG00000004319	5410
ENSMUSG00000004328	46
ENSMUSG00000004341	1
ENSMUSG00000004344	0
ENSMUSG00000004347	1673
ENSMUSG00000004356	1081
ENSMUSG00000004359	33
ENSMUSG00000004360	332
ENSMUSG00000004364	6974
ENSMUSG00000004366	46
ENSMUSG00000004371	69
ENSMUSG00000004383	1168
ENSMUSG00000004393	1376
ENSMUSG00000004394	4863
ENSMUSG00000004415	227
ENSMUSG00000004446	1098
ENSMUSG00000004451	2832
ENSMUSG00000004455	3597
ENSMUSG00000004460	8628
ENSMUSG00000004462	1245
ENSMUSG00000004473	263
ENSMUSG00000004500	884
ENSMUSG00000004508	1791
ENSMUSG00000004530	3840
ENSMUSG00000004535	15753
ENSMUSG00000004540	0
ENSMUSG00000004542	0
ENSMUSG00000004552	25
ENSMUSG00000004558	10812
ENSMUSG00000004561	976
ENSMUSG00000004562	4382
ENSMUSG00000004565	3147
ENSMUSG00000004567	2633
ENSMUSG00000004568	3040
ENSMUSG00000004591	4359
ENSMUSG00000004609	942
ENSMUSG00000004610	1195
ENSMUSG00000004612	66
ENSMUSG00000004626	6957
ENSMUSG00000004630	0
ENSMUSG00000004631	2896
ENSMUSG00000004633	2170
ENSMUSG00000004637	1219
ENSMUSG00000004642	2020
ENSMUSG00000004651	0
ENSMUSG00000004654	23
ENSMUSG00000004655	5090
ENSMUSG00000004661	567
ENSMUSG00000004665	7158
ENSMUSG00000004667	3399
ENSMUSG00000004668	0
ENSMUSG00000004677	4197
ENSMUSG00000004698	216
ENSMUSG00000004707	187
