gene	P8
ENSMUSG00000003545	160
ENSMUSG00000003546	2407
ENSMUSG00000003549	1252
ENSMUSG00000003555	16
ENSMUSG00000003559	2942
ENSMUSG00000003573	779
ENSMUSG00000003575	1567
ENSMUSG00000003581	1506
ENSMUSG00000003585	174
ENSMUSG00000003604	443
ENSMUSG00000003617	20313
ENSMUSG00000003623	3075
ENSMUSG00000003644	2470
ENSMUSG00000003657	0
ENSMUSG00000003660	6691
ENSMUSG00000003662	2640
ENSMUSG00000003665	28
ENSMUSG00000003680	547
ENSMUSG00000003721	2676
ENSMUSG00000003731	5180
ENSMUSG00000003746	2161
ENSMUSG00000003752	1375
ENSMUSG00000003762	1278
ENSMUSG00000003778	3879
ENSMUSG00000003779	446
ENSMUSG00000003808	2364
ENSMUSG00000003809	2087
ENSMUSG00000003810	5039
ENSMUSG00000003812	2663
ENSMUSG00000003813	5815
ENSMUSG00000003814	75988
ENSMUSG00000003824	154
ENSMUSG00000003847	10149
ENSMUSG00000003848	1356
ENSMUSG00000003849	1165
ENSMUSG00000003863	589
ENSMUSG00000003865	10284
ENSMUSG00000003868	2014
ENSMUSG00000003872	37
ENSMUSG00000003873	3138
ENSMUSG00000003882	1077
ENSMUSG00000003923	1843
ENSMUSG00000003929	815
ENSMUSG00000003934	47
ENSMUSG00000003948	812
ENSMUSG00000003949	368
ENSMUSG00000003955	1768
ENSMUSG00000003970	24533
ENSMUSG00000003974	5
ENSMUSG00000003992	1540
ENSMUSG00000004018	456
ENSMUSG00000004031	2
ENSMUSG00000004032	1831
ENSMUSG00000004035	641
ENSMUSG00000004038	70
ENSMUSG00000004040	11760
ENSMUSG00000004043	1491
ENSMUSG00000004044	15112
ENSMUSG00000004054	3261
ENSMUSG00000004056	12939
ENSMUSG00000004069	4821
ENSMUSG00000004070	2706
ENSMUSG00000004071	5267
ENSMUSG00000004085	8797
ENSMUSG00000004096	2987
ENSMUSG00000004098	1724
ENSMUSG00000004099	3810
ENSMUSG00000004100	1296
ENSMUSG00000004105	4692
ENSMUSG00000004110	28
ENSMUSG00000004113	129
ENSMUSG00000004127	274
ENSMUSG00000004151	910
ENSMUSG00000004187	1259
ENSMUSG00000004207	123252
ENSMUSG00000004221	2972
ENSMUSG00000004231	0
ENSMUSG00000004233	640
ENSMUSG00000004263	435
ENSMUSG00000004264	5537
ENSMUSG00000004266	2497
ENSMUSG00000004267	577
ENSMUSG00000004268	2067
ENSMUSG00000004270	4827
ENSMUSG00000004285	4630
ENSMUSG00000004296	46
ENSMUSG00000004317	1815
ENSMUSG00000004319	4908
ENSMUSG00000004328	81
ENSMUSG00000004341	2
ENSMUSG00000004344	0
ENSMUSG00000004347	1407
ENSMUSG00000004356	1422
ENSMUSG00000004359	28
ENSMUSG00000004360	784
ENSMUSG00000004364	7806
ENSMUSG00000004366	1
ENSMUSG00000004371	36
ENSMUSG00000004383	1400
ENSMUSG00000004393	1897
ENSMUSG00000004394	4924
ENSMUSG00000004415	316
ENSMUSG00000004446	1095
ENSMUSG00000004451	3611
ENSMUSG00000004455	3504
ENSMUSG00000004460	7898
ENSMUSG00000004462	1191
ENSMUSG00000004473	639
ENSMUSG00000004500	707
ENSMUSG00000004508	1580
ENSMUSG00000004530	6580
ENSMUSG00000004535	15020
ENSMUSG00000004540	0
ENSMUSG00000004542	0
ENSMUSG00000004552	31
ENSMUSG00000004558	26436
ENSMUSG00000004561	1246
ENSMUSG00000004562	3228
ENSMUSG00000004565	2967
ENSMUSG00000004567	2970
ENSMUSG00000004568	3021
ENSMUSG00000004591	4544
ENSMUSG00000004609	1172
ENSMUSG00000004610	1316
ENSMUSG00000004612	129
ENSMUSG00000004626	7248
ENSMUSG00000004630	7
ENSMUSG00000004631	2472
ENSMUSG00000004633	1356
ENSMUSG00000004637	949
ENSMUSG00000004642	1402
ENSMUSG00000004651	0
ENSMUSG00000004654	23
ENSMUSG00000004655	19719
ENSMUSG00000004661	368
ENSMUSG00000004665	7087
ENSMUSG00000004667	3825
ENSMUSG00000004668	2
ENSMUSG00000004677	4546
ENSMUSG00000004698	276
ENSMUSG00000004707	401
ENSMUSG00000004709	68
ENSMUSG00000004730	1908
ENSMUSG00000004748	864
ENSMUSG00000004768	777
ENSMUSG00000004771	6939
ENSMUSG00000004788	2950
ENSMUSG00000004789	11039
ENSMUSG00000004791	2121
ENSMUSG00000004798	4289
ENSMUSG00000004814	96
ENSMUSG00000004815	1876
ENSMUSG00000004821	0
ENSMUSG00000004837	400
ENSMUSG00000004842	0
ENSMUSG00000004843	3678
ENSMUSG00000004846	5374
