,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,ensembl_id
ENSMUSG00000107096_Gm43597,116.8181765,-0.885242238,0.241753959,-3.661748676,0.0002505,0.004500903,,ENSMUSG00000107096
ENSMUSG00000025780_Itih5,920.6041402,-0.634559783,0.173334149,-3.660904593,0.000251326,0.004506939,,ENSMUSG00000025780
ENSMUSG00000051596_Otop1,103.781407,-1.643183671,0.449114256,-3.658720803,0.000253477,0.004532233,,ENSMUSG00000051596
ENSMUSG00000025153_Fasn,16128.22581,-1.102981097,0.301528731,-3.657963517,0.000254227,0.00454122,,ENSMUSG00000025153
ENSMUSG00000011382_Dhdh,681.1762287,-0.697389028,0.19068188,-3.657342951,0.000254843,0.004547801,,ENSMUSG00000011382
ENSMUSG00000019467_Arhgef25,743.0954451,-0.677459815,0.185950273,-3.643231086,0.000269237,0.004758419,,ENSMUSG00000019467
ENSMUSG00000023809_Rps6ka2,1289.55677,-0.771541349,0.211766955,-3.643351007,0.000269111,0.004758419,,ENSMUSG00000023809
ENSMUSG00000100826_Snhg14,155.3073896,-0.723444487,0.199256973,-3.630711022,0.000282642,0.004947708,,ENSMUSG00000100826
ENSMUSG00000039063_Echdc3,286.2081727,-0.641551423,0.176730565,-3.630110174,0.0002833,0.004954517,,ENSMUSG00000039063
ENSMUSG00000037016_Frem2,159.6323832,-1.299963087,0.358920267,-3.621871506,0.000292479,0.005090805,,ENSMUSG00000037016
ENSMUSG00000031144_Syp,118.2654909,-0.8912335,0.247439654,-3.601821645,0.000315995,0.005417945,,ENSMUSG00000031144
ENSMUSG00000050737_Ptges,992.948737,-0.868848266,0.241243346,-3.601542927,0.000316334,0.005418698,,ENSMUSG00000050737
ENSMUSG00000025509_Pnpla2,4557.064898,-0.70587475,0.196225133,-3.59726983,0.000321575,0.005503335,,ENSMUSG00000025509
ENSMUSG00000055675_Kbtbd11,313.6006644,-0.746201761,0.207910464,-3.589053421,0.000331881,0.005632466,,ENSMUSG00000055675
ENSMUSG00000082307_Gm13418,150.493877,-1.011953379,0.282629684,-3.580492198,0.000342948,0.005788186,,ENSMUSG00000082307
ENSMUSG00000055053_Nfic,3099.838388,-0.800164429,0.223528627,-3.579695543,0.000343995,0.005800529,,ENSMUSG00000055053
ENSMUSG00000100131_Gm28439,386.7042901,-1.409421167,0.395501506,-3.56363034,0.000365761,0.006094287,,ENSMUSG00000100131
ENSMUSG00000023328_Ache,494.9796265,-0.969132303,0.272354837,-3.558344376,0.0003732,0.006173935,,ENSMUSG00000023328
ENSMUSG00000032387_Rbpms2,143.2254612,-0.932439279,0.262039809,-3.558387879,0.000373138,0.006173935,,ENSMUSG00000032387
ENSMUSG00000001419_Mef2d,2701.489103,-0.629697929,0.177292344,-3.551749137,0.00038268,0.006313696,,ENSMUSG00000001419
ENSMUSG00000041737_Tmem45b,403.0887009,-1.379294173,0.388418739,-3.551049512,0.000383698,0.006321415,,ENSMUSG00000041737
