,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,,,
ENSMUSG00000091472_Gm3739,27.58700848,-3.484755455,0.547163891,-6.368759908,1.91E-10,1.97E-08,,,19,ENSMUSG00000091472
ENSMUSG00000000290_Itgb2,767.6850871,-1.691870133,0.266110141,-6.357781501,2.05E-10,2.10E-08,,,19,ENSMUSG00000000290
ENSMUSG00000005640_Insrr,100.4248338,3.212090376,0.505413435,6.355371964,2.08E-10,2.12E-08,,,19,ENSMUSG00000005640
ENSMUSG00000019122_Ccl9,734.0981784,-1.897348416,0.298706791,-6.351875733,2.13E-10,2.16E-08,,,19,ENSMUSG00000019122
ENSMUSG00000034685_Fam171a2,721.5719333,-1.093162884,0.172322086,-6.343718964,2.24E-10,2.26E-08,,,19,ENSMUSG00000034685
ENSMUSG00000057914_Cacnb2,75.13711551,-1.625970373,0.256444441,-6.340439144,2.29E-10,2.30E-08,,,19,ENSMUSG00000057914
ENSMUSG00000029193_Cckar,46.77328174,4.049992769,0.639884834,6.329252634,2.46E-10,2.46E-08,,,19,ENSMUSG00000029193
ENSMUSG00000001247_Lsr,1519.45474,-0.894358493,0.141537704,-6.318870987,2.63E-10,2.62E-08,,,19,ENSMUSG00000001247
ENSMUSG00000019856_Fam184a,123.4876159,2.106220608,0.333546966,6.314614798,2.71E-10,2.67E-08,,,19,ENSMUSG00000019856
ENSMUSG00000018171_Vmp1,2608.313207,-0.795458113,0.126412712,-6.29254844,3.12E-10,3.03E-08,,,19,ENSMUSG00000018171
ENSMUSG00000038642_Ctss,2918.684726,-1.538923401,0.244502392,-6.294103666,3.09E-10,3.03E-08,,,19,ENSMUSG00000038642
