,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AA467197,54.58314745,3.690871316,0.521352764,7.079412586,1.45E-12,2.29E-10
ANKRD29,115.185866,1.781291707,0.25200373,7.068513258,1.57E-12,2.46E-10
EPHA1,795.3851536,1.544394801,0.219104505,7.048667487,1.81E-12,2.80E-10
4930481A15RIK,69.59188185,-3.260059069,0.46255281,-7.047971597,1.82E-12,2.80E-10
TGFBI,2968.58144,2.10998003,0.299722188,7.0397859,1.93E-12,2.95E-10
4930452B06RIK,169.6546435,-1.710617032,0.243168237,-7.0347059,2.00E-12,3.03E-10
CTSB,23401.29185,1.145081822,0.162901468,7.02929099,2.08E-12,3.12E-10
CP,4280.428955,1.208888751,0.172226321,7.019186995,2.23E-12,3.33E-10
AR,510.8673367,-1.143466518,0.164815663,-6.937851021,3.98E-12,5.90E-10
IL1F9,57.00465596,7.559343585,1.09146659,6.925858888,4.33E-12,6.37E-10
TMPRSS2,3269.578357,1.216177853,0.175812509,6.917470551,4.60E-12,6.70E-10
CCN5,152.4093844,2.709448521,0.392317844,6.906258688,4.98E-12,7.14E-10
AU021092,5572.316543,1.319903011,0.19109253,6.907140797,4.95E-12,7.14E-10
H2-D1,13982.06571,0.889210391,0.128962582,6.895103832,5.38E-12,7.66E-10
SLA,780.3538423,1.834087445,0.266250755,6.888571812,5.64E-12,7.96E-10
PTPRN2,83.12730543,-3.120721427,0.453606869,-6.879793136,5.99E-12,8.40E-10
PCTP,498.9343288,1.026686692,0.149493013,6.867790467,6.52E-12,9.07E-10
GM266,54.92416388,4.222667179,0.616048259,6.854442197,7.16E-12,9.80E-10
ST3GAL1,1719.964107,1.484093079,0.216544849,6.853513645,7.21E-12,9.80E-10
TGM3,1362.769442,9.195128373,1.341433466,6.854703275,7.15E-12,9.80E-10
SERPINB10,61.08589624,4.054719981,0.59371546,6.829399359,8.53E-12,1.15E-09
PTGDR,97.76723911,5.011145139,0.736494998,6.804045046,1.02E-11,1.36E-09
2610042L04RIK,22.19125257,6.59523579,0.97160557,6.787976516,1.14E-11,1.51E-09
TRARG1,307.0388819,-1.603462704,0.236281771,-6.786231116,1.15E-11,1.52E-09
IL7R,203.9406679,1.731979921,0.256357991,6.756098819,1.42E-11,1.85E-09
EMB,2556.600159,0.714792789,0.105808194,6.755552313,1.42E-11,1.85E-09
TCERG1L,29.21992216,-3.32897044,0.493129382,-6.750703902,1.47E-11,1.90E-09
TIMP1,134.284623,2.458945481,0.364372911,6.748431084,1.49E-11,1.92E-09
CYTIP,262.5002997,1.588005936,0.235398935,6.746020049,1.52E-11,1.94E-09
STRA6L,23.35237557,3.859405302,0.574626793,6.716368521,1.86E-11,2.36E-09
GM3468,49.23068993,2.708114439,0.404573314,6.693754492,2.18E-11,2.74E-09
CDKN1A,1696.661955,1.192747102,0.178611474,6.677886227,2.42E-11,3.03E-09
CPXM2,760.9823802,1.191539202,0.178886668,6.66086084,2.72E-11,3.38E-09
PAK3,302.1845661,2.101529524,0.316107503,6.648148194,2.97E-11,3.66E-09
PLAC8,288.501862,1.333148994,0.200955766,6.634042017,3.27E-11,4.00E-09
LAMA2,782.624472,-0.968264852,0.145983128,-6.632717514,3.30E-11,4.01E-09
KRT8,8738.71883,1.321851884,0.200044501,6.607789148,3.90E-11,4.71E-09
MAN1C1,600.68964,-0.78489869,0.11901524,-6.594942701,4.25E-11,5.11E-09
LOR,1321.230624,9.167122571,1.391265485,6.5890534,4.43E-11,5.28E-09
MDGA1,206.3293897,-1.427706937,0.216737035,-6.587277246,4.48E-11,5.31E-09
RESP18,127.2259026,-3.150394831,0.479211439,-6.574122763,4.89E-11,5.76E-09
HEXA,4981.740374,1.072752091,0.163582115,6.5578813,5.46E-11,6.38E-09
SYT7,190.5767961,-2.09477133,0.320259552,-6.540855115,6.12E-11,7.11E-09
LHX2,39.21160811,4.79097742,0.735399142,6.514798763,7.28E-11,8.39E-09
CD300LF,34.66081434,3.476082283,0.533621011,6.514140586,7.31E-11,8.39E-09
CD84,245.9404608,1.70115062,0.261544791,6.504242016,7.81E-11,8.91E-09
