"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Osgin2",431.2673869,1.273179995,0.212281995,5.997588224,2e-09,1.65e-07
"Coro1c",1649.600654,0.849530607,0.142095157,5.978603548,2.25e-09,1.84e-07
"Grik3",34.6539546,-2.622955608,0.439641769,-5.966120134,2.43e-09,1.98e-07
"Rpl41",4267.72706,0.905772471,0.15186709,5.964244589,2.46e-09,2e-07
"Tnfsf11",49.50887243,2.887969281,0.484687123,5.958419655,2.55e-09,2.06e-07
"Rbp7",111.4455203,1.823543586,0.306142703,5.956514946,2.58e-09,2.07e-07
"Dner",85.36584787,-3.318296626,0.557088928,-5.95649359,2.58e-09,2.07e-07
"Aqp6",114.9941483,-1.64876224,0.276976943,-5.952705742,2.64e-09,2.11e-07
"Tagln2",6800.557029,0.936643565,0.157392878,5.950990791,2.67e-09,2.12e-07
"Cd24a",42275.18291,0.702797435,0.118242901,5.94367553,2.79e-09,2.21e-07
"Map6d1",28.27975111,2.78856185,0.46929925,5.941969543,2.82e-09,2.22e-07
"Tgtp1",1147.256275,1.359170535,0.228950506,5.936525579,2.91e-09,2.28e-07
"Ptgs2",87.76865067,2.599283928,0.438580662,5.926581253,3.09e-09,2.42e-07
"Olfm1",359.5306378,1.134029614,0.191797365,5.912644388,3.37e-09,2.62e-07
"Lgi3",232.7510934,-1.568450928,0.265820032,-5.900424123,3.63e-09,2.81e-07
"Syt9",62.3578502,-1.865068836,0.316230903,-5.897807004,3.68e-09,2.84e-07
"Tlr13",114.9617841,1.50109321,0.254562312,5.896761372,3.71e-09,2.85e-07
"Asprv1",1866.913864,8.800117724,1.493032365,5.894123885,3.77e-09,2.88e-07
"Ceacam19",216.2618016,1.532613998,0.260112872,5.89211132,3.81e-09,2.91e-07
"Itga4",1036.834031,1.122350546,0.191020267,5.875557422,4.21e-09,3.2e-07
"Klrg2",185.6264451,1.747849112,0.297901502,5.867204771,4.43e-09,3.35e-07
"Abcc8",56.55006381,-2.484976906,0.424415487,-5.855057086,4.77e-09,3.59e-07
"Scg2",2405.193993,-3.271456276,0.559701303,-5.845003854,5.07e-09,3.8e-07
"Dapl1",112.6620706,2.965742762,0.507616899,5.842482333,5.14e-09,3.82e-07
"B3gnt7",120.4206941,2.632207612,0.450480171,5.843115368,5.12e-09,3.82e-07
"Celf3",53.36668726,-2.267715592,0.388209717,-5.841470449,5.17e-09,3.83e-07
"Krt78",666.1525097,10.14257814,1.737777906,5.836521518,5.33e-09,3.93e-07
"Bsg",14960.82277,0.812268143,0.139238911,5.833628969,5.42e-09,3.97e-07
"Mpeg1",1985.075889,1.034968594,0.177408503,5.833816176,5.42e-09,3.97e-07
"Plaur",131.5383182,2.001956323,0.343361454,5.830463205,5.53e-09,4.02e-07
"D630045J12Rik",348.3487016,-1.792280517,0.307413548,-5.830193655,5.54e-09,4.02e-07
"Gcnt4",30.29319758,2.967581001,0.511108522,5.806166149,6.39e-09,4.62e-07
"Gm2897",38.53490357,2.70249395,0.466891938,5.78826433,7.11e-09,5.12e-07
"Krt19",3255.953818,1.31949434,0.228142094,5.783651389,7.31e-09,5.24e-07
"S100g",38.79046102,4.150821206,0.717969705,5.781331961,7.41e-09,5.3e-07
"Socs3",327.7132449,1.047058065,0.181338074,5.774066305,7.74e-09,5.51e-07
"Mpzl3",565.7241943,1.01019646,0.1750886,5.769630115,7.94e-09,5.63e-07
"Tgm1",380.3786537,2.100225455,0.364314141,5.764874916,8.17e-09,5.77e-07
"Grem1",316.9843642,2.40629823,0.418857143,5.744913923,9.2e-09,6.47e-07
"Ucp2",4688.429528,1.055638586,0.183897116,5.740375977,9.45e-09,6.62e-07
"Rasgrp3",1051.404005,1.02244007,0.178268507,5.735393691,9.73e-09,6.79e-07
"Gm3667",23.76973581,4.553333595,0.794342163,5.732206857,9.91e-09,6.9e-07
"Abat",282.3240789,-0.895991561,0.156567512,-5.722716998,1.05e-08,7.26e-07
"Ereg",26.31995597,4.733139051,0.827814512,5.717632373,1.08e-08,7.46e-07
"Sv2a",117.5003257,-1.534787377,0.268608297,-5.713849472,1.1e-08,7.6e-07
"Pcsk1",177.6212315,-2.271749416,0.397733823,-5.711733029,1.12e-08,7.66e-07
"Gm3752",13.60079395,6.081004455,1.066364137,5.702559045,1.18e-08,8.06e-07
"Crispld2",651.5922676,-1.096171852,0.192269556,-5.701224241,1.19e-08,8.09e-07
"Crip1",3097.697777,1.226804828,0.215293607,5.69828732,1.21e-08,8.2e-07
"Msr1",148.5875235,2.026895685,0.356951278,5.678353907,1.36e-08,9.15e-07
"Gcnt3",68.99300369,3.316286175,0.584019968,5.678378068,1.36e-08,9.15e-07
"Ctsk",416.1477621,1.351082036,0.238064803,5.675270011,1.38e-08,9.28e-07
"Cd53",377.6547006,1.188471844,0.209575258,5.670859507,1.42e-08,9.45e-07
"Gm2956",13.96241047,6.030217389,1.063293241,5.671264667,1.42e-08,9.45e-07
"Actn1",2761.268167,0.956319254,0.168716508,5.668202039,1.44e-08,9.57e-07
"Napsa",5092.898401,1.479379677,0.261987022,5.646767027,1.63e-08,1.08e-06
"Iffo2",555.5704099,1.008815415,0.179119092,5.632093159,1.78e-08,1.17e-06
"Ly6i",51.31611594,4.840591249,0.860407611,5.625927978,1.85e-08,1.21e-06
"Ism2",75.02488781,-1.951906818,0.347354072,-5.619357816,1.92e-08,1.25e-06
"Tbc1d2",287.5441222,1.36512872,0.243109543,5.615282325,1.96e-08,1.28e-06
"Pheta1",605.1463835,0.937045806,0.166926764,5.613514474,1.98e-08,1.29e-06
"Mxra7",481.9723996,0.721029446,0.128462316,5.612770111,1.99e-08,1.29e-06
